p,length,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.154,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.110,3,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.104,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.060,3,3,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.053,3,2,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.044,4,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.042,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.034,4,4,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.031,3,2,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.029,4,3,,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,,,,,
0.024,4,2,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,,,,,,
0.022,5,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.016,5,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,
0.016,4,3,4,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.015,4,2,3,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,
0.014,5,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,
0.014,5,5,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.013,4,2,4,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.012,5,2,,,,,,,,,,,,,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,
0.010,5,4,5,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.010,5,3,5,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,,,,,
0.009,5,2,3,,,,,,,,,,,,,,,,,,,1,4,5,,,,,,,,,,,,,,,,,
0.008,5,3,4,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,
0.008,6,5,,,,,,,,,,,,,,,,,,,,1,2,3,4,6,,,,,,,,,,,,,,,
0.008,6,6,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.008,6,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,,,,,,,,,,,,,,,
0.007,6,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,,,,,,,,,,,,,,,
0.007,5,2,4,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,
0.007,5,2,5,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,,,,,,
0.006,6,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,
0.006,6,2,6,,,,,,,,,,,,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,
0.006,6,2,,,,,,,,,,,,,,,,,,,,1,3,4,5,6,,,,,,,,,,,,,,,
0.005,6,3,5,,,,,,,,,,,,,,,,,,,1,2,4,6,,,,,,,,,,,,,,,,
0.005,6,2,5,,,,,,,,,,,,,,,,,,,1,3,4,6,,,,,,,,,,,,,,,,
0.005,6,5,6,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.005,6,3,4,,,,,,,,,,,,,,,,,,,1,2,5,6,,,,,,,,,,,,,,,,
0.005,6,2,4,,,,,,,,,,,,,,,,,,,1,3,5,6,,,,,,,,,,,,,,,,
0.005,5,3,4,5,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.004,6,4,5,,,,,,,,,,,,,,,,,,,1,2,3,6,,,,,,,,,,,,,,,,
0.004,4,2,3,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.004,6,2,3,,,,,,,,,,,,,,,,,,,1,4,5,6,,,,,,,,,,,,,,,,
0.004,6,4,6,,,,,,,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,
0.004,6,3,6,,,,,,,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,
